Description	Name	Egg_1	Egg_2	Egg_3	2_1	2_2	2_3	4_1	4_2	4_3	6_1	6_2	6_3	8_1	8_2	8_3	24_1	24_2	24_3	Gene_stable_ID	Transcript_stable_ID	Protein_stable_ID	Transcript_name	Gene_Synonym	Gene_type	Gene_description
pep chromosome:GRCz11:24:5799764:5810023:1 gene:ENSDARG00000061221.8 transcript:ENSDART00000154482.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:si:ch211-157j23.2 description:si:ch211-157j23.2 [Source:ZFIN;Acc:ZDB-GENE-030131-5686]	NA	398709.159145298	103016.631351805	172416.259455061	194655.779391898	173524.857885319	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	1573463.42359277	263460.740186661	226279.625895691	222762.305921108	220863.176934779	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz10:11:44536220:44539854:-1 gene:ENSDARG00000100528.2 transcript:ENSDART00000161846.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:map1lc3c description:microtubule-associated protein 1 light chain 3 gamma [Source:ZFIN;Acc:ZDB-GENE-040426-1080]	NA	392388.632468296	39198225.524346	34830159.3276016	52242518.3777653	65283786.7399041	47341110.2289335	70840395.0936499	79713404.2964922	48899252.7734234	138746939.5879	67793184.6757895	74733065.6400513	76073825.7996069	92679862.941118	55372833.1501875	20173282.5978414	31595546.6290016	36625621.4466412	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:20:33987465:33989427:1 gene:ENSDARG00000042130.6 transcript:ENSDART00000061751.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:zp3a.2 description:zona pellucida glycoprotein 3a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040727-2]	zp3a.2	392127.486251429	306951.474320267	265765.880846729	579654.765091418	218542.398906558	262160.665376232	746233.090208364	415561.439762612	616491.192526976	1884916.74971785	781033.610905702	199602024.751793	1233685.05153167	222762.305921108	220863.176934779	199123.194798386	217597.123813648	1581648.74356134	ENSDARG00000042130	ENSDART00000061751	ENSDARP00000061750	zp3a.2-201		protein_coding	zona_pellucida_glycoprotein_3a,_tandem_duplicate_2_[Source:ZFIN;Acc:ZDB-GENE-040727-2]
pep chromosome:GRCz11:3:52892671:52899394:-1 gene:ENSDARG00000091754.4 transcript:ENSDART00000128223.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:CT573476.1 description:coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:NCBI gene;Acc:100000646]	LOC100000646; chchd5	381814.744608371	3357128.76485509	21252884.0017495	3419035.58621864	4492533.89106647	5063188.97728471	3925373.16602265	5522985.38640683	10398450.2888349	820826.97141387	7346456.08855517	730737.581859166	4612682.32350042	2898489.77521541	1141828.54295598	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:CHR_ALT_CTG2_1_4:39009509:39028201:-1 gene:ENSDARG00000114286.1 transcript:ENSDART00000190183.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:copb2 description:coatomer protein complex, subunit beta 2 [Source:ZFIN;Acc:ZDB-GENE-010724-7]	NA	381360.183070817	471278.906466897	2243150.7186824	6878243.43836607	11504688.2175812	9538913.49936704	11622561.3381214	13552590.163578	10758137.7868009	8967872.89705235	7357440.23580131	7744473.05291733	6137304.8247143	7807297.12562595	2603962.86173796	3007954.50308928	2167716.31420649	2848580.92663585	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:23:480423:493384:-1 gene:ENSDARG00000037846.7 transcript:ENSDART00000128433.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:hm13 description:histocompatibility (minor) 13 [Source:ZFIN;Acc:ZDB-GENE-020802-3]	hm13	377390.017539568	607680.814236322	996618.249615139	1756678.81196692	3342261.88926553	18185308.4852209	5728917.10822584	4527999.27990723	9971644.90228985	11098500.154129	7320754.74502885	16645009.0649562	6802983.26247815	9594466.33431881	6547346.28268957	23271368.3612518	8167157.97590936	5241658.23319077	ENSDARG00000037846	ENSDART00000130276,ENSDART00000128433	,ENSDARP00000109113	hm13-202,hm13-201		protein_coding	histocompatibility_(minor)_13_[Source:ZFIN;Acc:ZDB-GENE-020802-3]
pep chromosome:GRCz11:4:1732825:1757460:-1 gene:ENSDARG00000093658.4 transcript:ENSDART00000144074.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tm7sf3 description:transmembrane 7 superfamily member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1770]	tm7sf3	376793.309312158	185804.796283821	482579.200931748	318989.696207538	478818.447696878	796211.032148091	979244.004722507	1388807.0384427	338144.908947557	1868191.25369183	3356728.90568866	2355236.08066139	2141618.49337002	2027793.04223745	1783179.08851435	3628067.47142726	904831.388304828	761010.614379325	ENSDARG00000093658	ENSDART00000144074	ENSDARP00000118023	tm7sf3-201		protein_coding	transmembrane_7_superfamily_member_3_[Source:ZFIN;Acc:ZDB-GENE-030131-1770]
pep chromosome:GRCz11:11:39120306:39148199:1 gene:ENSDARG00000044573.8 transcript:ENSDART00000155746.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cdc42 description:cell division cycle 42 [Source:ZFIN;Acc:ZDB-GENE-030131-8783]	cdc42	374516.47973283	186462.960169484	172416.259455061	2682550.77238845	1279904.20510369	6374759.9873686	440076.006734036	10560664.4116674	806414.972645282	1276915.42245787	12400868.2646887	12084139.8167034	8777556.01099945	10661702.213202	17907434.4185187	1268424.08868597	1288488.14404314	4027195.72372721	ENSDARG00000044573	ENSDART00000155746,ENSDART00000154158,ENSDART00000180571,ENSDART00000189685	ENSDARP00000129339,ENSDARP00000129719,ENSDARP00000149720,ENSDARP00000155235	cdc42-202,cdc42-201,cdc42-203,cdc42-204		protein_coding	cell_division_cycle_42_[Source:ZFIN;Acc:ZDB-GENE-030131-8783]
pep chromosome:GRCz11:16:47428735:47450004:1 gene:ENSDARG00000026835.8 transcript:ENSDART00000032309.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:slc25a32b description:solute carrier family 25 (mitochondrial folate carrier), member 32b [Source:ZFIN;Acc:ZDB-GENE-050306-39]	slc25a32b	373507.218923073	125995.857606848	592315.515067313	176287.853693433	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	817588.81109449	1212293.39377718	246475.804151868	ENSDARG00000026835	ENSDART00000032309,ENSDART00000131576,ENSDART00000180597	ENSDARP00000032745,,ENSDARP00000149096	slc25a32b-201,slc25a32b-202,slc25a32b-203		protein_coding	solute_carrier_family_25_member_32b_[Source:ZFIN;Acc:ZDB-GENE-050306-39]
pep chromosome:GRCz10:19:41419855:41447104:1 gene:ENSDARG00000023900.10 transcript:ENSDART00000049842.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:casd1 description:CAS1 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-060503-329]	NA	372368.315928347	213785.467638123	777466.77281909	266885.314130426	979286.229015003	1944312.21340782	1387797.5214482	1304791.76713179	1282770.9298314	3831170.04400453	2341999.94206871	6342915.02577071	2291742.85930116	3168815.45614191	3379007.26943326	1054764.12205417	1566519.34408108	3425758.24713085	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:1:50968908:50990889:1 gene:ENSDARG00000017772.12 transcript:ENSDART00000012842.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mdh1aa description:malate dehydrogenase 1Aa, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-040204-1]	NA	364574.452715461	164490.883165743	172416.259455061	340956.073244378	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:CHR_ALT_CTG16_1_21:38675452:38746826:1 gene:ENSDARG00000114541.1 transcript:ENSDART00000192471.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:emc2 description:ER membrane protein complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040625-82]	NA	358447.03822002	686721.569377727	879905.273661364	2585346.32423407	4275857.20252235	3270834.0101215	4359381.85237161	5321228.13879758	4510379.42369571	7191603.19509697	4769503.94440428	5950607.85111979	3084468.75500283	3365399.55062618	3254663.83759743	8820697.44763529	5304294.88263824	4945694.26368107	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:16:19537038:19568795:-1 gene:ENSDARG00000021787.10 transcript:ENSDART00000185141.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:abcb5 description:ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6414]	NA	347221.478285758	73861.3082940266	93832.1192960067	194655.779391898	334655.576186875	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:CHR_ALT_CTG15_1_7:14551580:14573691:-1 gene:ENSDARG00000113287.1 transcript:ENSDART00000187187.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:AL929103.1 description:coenzyme Q8B [Source:NCBI gene;Acc:799071]	NA	346808.179955616	895675.344206776	683894.684911201	442490.665140904	631345.248863455	670843.567298012	784797.922929709	752751.304345206	228102.928147739	392904.028051599	848787.526586164	714752.175724227	597934.164144901	942716.304647418	622303.578243081	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:20:32337522:32405440:-1 gene:ENSDARG00000042902.7 transcript:ENSDART00000062978.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:afg1lb description:AFG1 like ATPase b [Source:ZFIN;Acc:ZDB-GENE-041014-178]	lace1b; afg1lb	344840.550566739	2075634.47838348	89528.6694611475	1689298.39873997	816590.044591661	771583.871745666	210954.748090464	255281.38508428	228102.928147739	287118.545381878	249053.598694961	263460.740186661	226279.625895691	1079506.53947357	1478260.18638233	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:20:25618114:25631256:-1 gene:ENSDARG00000033539.8 transcript:ENSDART00000048164.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:paics description:phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase [Source:ZFIN;Acc:ZDB-GENE-030131-9762]	NA	340682.96029548	269555.373810249	172416.259455061	336011.672713287	1370604.17807249	55935.4783229904	1477417.9315654	1778271.48819736	2148777.04726243	5717109.14985571	4845164.01480368	7064643.23906577	8364633.61556562	7124331.32134539	13593884.6163048	15077175.3132916	18856203.5881977	14258818.8887498	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:17:21372291:21418340:-1 gene:ENSDARG00000013443.10 transcript:ENSDART00000007021.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp6v1ba description:ATPase, H+ transporting, lysosomal, V1 subunit B, member a [Source:ZFIN;Acc:ZDB-GENE-030711-3]	atp6v1ba	339548.620163856	508275.943219144	2002997.9545854	1295489.86042228	1993726.50124265	1075360.03185487	2409066.89686503	4178242.60979878	1222225.90981255	4829712.04450763	6570199.58485132	10230090.810355	78410998.376823	30577133.3094195	10499913.7290397	24664993.9562825	75573689.8326501	77208475.8415796	ENSDARG00000013443,ENSDARG00000111525	ENSDART00000007021,ENSDART00000160972	ENSDARP00000008834,ENSDARP00000140211	atp6v1ba-201,atp6v1ba-202		protein_coding	ATPase,_H+_transporting,_lysosomal,_V1_subunit_B,_member_a_[Source:ZFIN;Acc:ZDB-GENE-030711-3]
pep chromosome:GRCz11:1:35956435:35970259:1 gene:ENSDARG00000060383.8 transcript:ENSDART00000085021.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mmaa description:metabolism of cobalamin associated A [Source:ZFIN;Acc:ZDB-GENE-070928-15]	mmaa	338445.204288417	4229250.08804505	4620894.98336559	3552485.58150472	572902.069345794	4832757.7577609	225228.127796773	2091562.62817884	3740624.17476305	1418895.22643323	2427741.5573833	588042.703599993	3857424.76417071	2223995.11181928	4778499.08921601	3230028.45360134	3576954.53573487	2595753.01776582	ENSDARG00000060383,ENSDARG00000115228,ENSDARG00000110058	ENSDART00000148505,ENSDART00000140144,ENSDART00000085021,ENSDART00000132932,ENSDART00000191578,ENSDART00000189151	ENSDARP00000124421,,ENSDARP00000079456,ENSDARP00000145964,ENSDARP00000152555	mmaa-204,mmaa-203,mmaa-201,mmaa-202,mmaa-206,mmaa-205		protein_coding	metabolism_of_cobalamin_associated_A_[Source:ZFIN;Acc:ZDB-GENE-070928-15]
Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=1 SV=1	NA	326937.252429753	14841168.411476	24486434.2801215	19943943.2007858	1918815.98179096	8018022.85845692	2203060.10934954	722140.824997049	1601733.22919256	34903976.3797089	18631939.4487931	263460.740186661	31059523.7905688	19289770.1468361	17231820.7167752	199123.194798386	13381410.5461765	4338342.42640572	NA	NA	NA	NA	NA	NA	NA
peroxisomal 2,4-dienoyl-CoA reductase isoform X1 [Danio rerio]	LOC573514; decr2	324541.288106777	596980.608695064	326373.461168677	569777.699717581	342731.632500806	1110964.85694909	982079.124228293	618908.961780063	2016919.95741601	543867.819913924	327404.511936914	194669.499802845	226279.625895691	1042505.39401732	407173.043993252	822429.606880387	404630.26958856	1375933.93157919	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:17:30843881:30855792:1 gene:ENSDARG00000042793.7 transcript:ENSDART00000149600.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tpp1 description:tripeptidyl peptidase I [Source:ZFIN;Acc:ZDB-GENE-030131-6654]	NA	323590.201792717	380095.415231726	841234.45245903	2125793.04518611	1151063.34523517	1183762.7864088	3246658.74066657	291207.282171629	1982807.29575454	2284246.58342856	5989066.46509738	1723111.29841011	3881661.74633787	1416952.13855409	4288313.23859599	15766211.1139838	15333273.1411479	17099042.4512004	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:13:3915260:3936555:-1 gene:ENSDARG00000021439.9 transcript:ENSDART00000017052.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ncoa4 description:nuclear receptor coactivator 4 [Source:ZFIN;Acc:ZDB-GENE-040426-689]	ncoa4	320700.575178059	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	199123.194798386	214419.032333706	246475.804151868	ENSDARG00000021439	ENSDART00000017052	ENSDARP00000013664	ncoa4-201		protein_coding	nuclear_receptor_coactivator_4_[Source:ZFIN;Acc:ZDB-GENE-040426-689]
pep chromosome:GRCz11:2:30250039:30252145:1 gene:ENSDARG00000078773.4 transcript:ENSDART00000135171.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tmem70 description:transmembrane protein 70 [Source:ZFIN;Acc:ZDB-GENE-070912-593]	NA	316412.278677046	164490.883165743	172416.259455061	194655.779391898	1354429.04800824	200316.40149845	1924488.66764456	1954140.20065866	228102.928147739	287118.545381878	1993415.71740783	5379904.99633287	226279.625895691	2674881.694426	5297489.60271328	1396384.9895064	3303382.97781279	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:12:17482607:17492852:-1 gene:ENSDARG00000045172.8 transcript:ENSDART00000012421.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:minpp1b description:multiple inositol-polyphosphate phosphatase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-888]	NA	311178.778610604	1190746.93210661	1300714.05750163	1643277.57983641	1551945.52637974	592435.494751158	2102607.89729649	1615734.77686511	1842475.72971759	2573407.31361265	2129878.85339415	1799163.28781445	1064933.9527044	817952.896216398	853297.101845465	3628366.34966069	1502701.14946168	2453418.69335105	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:12:28377745:28537615:-1 gene:ENSDARG00000036863.7 transcript:ENSDART00000067762.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:MYO1D description:si:ch211-94l19.4 [Source:ZFIN;Acc:ZDB-GENE-130531-15]	myo1d; si:ch211-94l19.4	309800.844037647	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	29712.4598620199	228102.928147739	287118.545381878	139154.424683251	263460.740186661	226279.625895691	222762.305921108	220863.176934779	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
Lrpprc protein, partial [Danio rerio]	lrpprc	309765.306052751	1195388.3290613	1499082.04302582	541203.954684599	668894.933555053	1042807.17357327	619418.65177632	610340.975275813	446061.152053284	287118.545381878	534580.878408367	1044552.41743048	641515.060229911	1036054.30398832	198368.812306808	703067.061709605	1565243.82990246	73906.5420203948	ENSDARG00000043970	ENSDART00000126427	ENSDARP00000111776	lrpprc-201		protein_coding	leucine-rich_pentatricopeptide_repeat_containing_[Source:ZFIN;Acc:ZDB-GENE-030131-7887]
pep chromosome:GRCz11:12:982796:990149:-1 gene:ENSDARG00000037361.5 transcript:ENSDART00000054367.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:kdelr2b description:KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2b [Source:ZFIN;Acc:ZDB-GENE-030131-4189]	kdelr2b	309610.794539087	164490.883165743	4179997.01017601	5101962.58171292	2251759.59123818	4665628.1303221	13466956.59797	9996588.13273292	11786662.8454473	20688136.8887288	21862794.0826866	52698945.7935253	6290542.18381458	2801919.64982297	220863.176934779	19233084.4205361	6341994.88710109	33872306.1601166	ENSDARG00000037361	ENSDART00000054367	ENSDARP00000054366	kdelr2b-201		protein_coding	KDEL_endoplasmic_reticulum_protein_retention_receptor_2b_[Source:ZFIN;Acc:ZDB-GENE-030131-4189]
pep chromosome:GRCz11:2:1470070:1486023:-1 gene:ENSDARG00000077288.3 transcript:ENSDART00000113774.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:si:ch211-188c16.1 description:si:ch211-188c16.1 [Source:ZFIN;Acc:ZDB-GENE-070912-162]	si:ch211-188c16.1	301616.529460096	164490.883165743	172416.259455061	604372.0421335	564333.988430364	81603.1581073057	856362.337855663	917206.031276306	122040.833693027	397905.648221901	704395.403720206	193841.123016883	383187.430198698	380899.72154247	488470.369396037	199123.194798386	214419.032333706	246475.804151868	ENSDARG00000077288	ENSDART00000113774	ENSDARP00000100789	si:ch211-188c16.1-201		protein_coding	si:ch211-188c16.1_[Source:ZFIN;Acc:ZDB-GENE-070912-162]
pep chromosome:GRCz11:6:53050166:53144336:-1 gene:ENSDARG00000017294.11 transcript:ENSDART00000154429.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:gnai2b description:guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5861]	NA	301137.433595009	1746171.65311994	172416.259455061	194655.779391898	2367960.27537509	1285531.21668181	210954.748090464	2559950.29813153	3410361.37966337	4417415.86797181	4543758.45024735	263460.740186661	3487511.18135358	5742927.00413543	2550021.66658598	3675012.70272698	214419.032333706	2556696.1910423	NA	NA	NA	NA	NA	NA	NA
Hlcs protein, partial [Danio rerio]	hlcs	300956.821718486	1302605.93663746	537414.97279064	5240758.08066233	437680.211545516	288099.854770996	210954.748090464	255281.38508428	33101.6673798421	287118.545381878	249053.598694961	263460.740186661	55161.7241226377	222762.305921108	56922.8381625683	40809.8165476664	22416.3381995256	1738938.58535316	NA	NA	NA	NA	NA	NA	NA
stromal interaction molecule 1 isoform X1 [Danio rerio]	stim1a	300805.32493055	1860840.09214612	1271655.0487807	4001159.08253996	2861728.40951477	3562409.28693369	4079931.28812893	7327209.78281343	5499778.58873007	6094610.96293527	5973789.91968852	2146551.88170912	1911140.16231134	1978570.8002778	2727896.41384416	2795418.19155055	2216050.9608114	6407306.42983521	ENSDARG00000060723	ENSDART00000122134,ENSDART00000190099,ENSDART00000188149	ENSDARP00000109796,ENSDARP00000151460,ENSDARP00000145787	stim1a-201,stim1a-203,stim1a-202		protein_coding	stromal_interaction_molecule_1a_[Source:ZFIN;Acc:ZDB-GENE-060503-914]
pep chromosome:GRCz11:4:25607743:25620107:1 gene:ENSDARG00000089159.4 transcript:ENSDART00000028297.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:acot14 description:acyl-CoA thioesterase 14 [Source:ZFIN;Acc:ZDB-GENE-041210-202]	NA	298325.345040913	1426546.96374184	172416.259455061	194655.779391898	302050.882417003	3238629.20316	210954.748090464	255281.38508428	228102.928147739	287118.545381878	874722.793550395	996671.298094312	226279.625895691	1316721.30899256	1025259.30695806	899723.902479385	1238679.88397101	246475.804151868	NA	NA	NA	NA	NA	NA	NA
LETM1 and EF-hand domain-containing protein 1, mitochondrial isoform X1 [Danio rerio]	letm1	296088.103508828	959968.157452854	172416.259455061	759581.467559946	455022.238181283	187858.029319253	218451.939042614	255281.38508428	124678.073296898	287118.545381878	249053.598694961	263460.740186661	226279.625895691	681712.772785129	248112.10719396	1577565.70304257	2305360.98803105	189140.20779528	ENSDARG00000056978,ENSDARG00000110254	ENSDART00000109906,ENSDART00000079558,ENSDART00000159441,ENSDART00000158817	,ENSDARP00000074011,ENSDARP00000131431,ENSDARP00000132780	letm1-202,letm1-201,letm1-203,letm1-204		protein_coding	leucine_zipper-EF-hand_containing_transmembrane_protein_1_[Source:ZFIN;Acc:ZDB-GENE-050522-154]
UDP-glucose:glycoprotein glucosyltransferase 2 isoform X1 [Danio rerio]	uggt2	294889.030693383	842925.383419675	1834410.0860526	1727533.5326936	3131838.93489427	3233521.45682205	4325757.9613388	5983112.28191058	6732100.07000983	7796766.78040648	3698806.37532531	3523466.9058119	3757522.0271456	2141583.07590719	2037993.82398429	9202165.57768716	6058730.09047057	10988388.8434292	ENSDARG00000062089	ENSDART00000125632,ENSDART00000132606,ENSDART00000186095,ENSDART00000182640	ENSDARP00000108742,,ENSDARP00000150820,ENSDARP00000145532	uggt2-201,uggt2-202,uggt2-204,uggt2-203		protein_coding	UDP-glucose_glycoprotein_glucosyltransferase_2_[Source:ZFIN;Acc:ZDB-GENE-050517-21]
pep chromosome:GRCz11:13:32660544:32726178:-1 gene:ENSDARG00000012563.10 transcript:ENSDART00000012232.10 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:pdss2 description:prenyl (decaprenyl) diphosphate synthase, subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040718-43]	pdss2	288073.11968803	284180.802994882	259135.427425679	181154.067151506	171198.692337905	151239.977311134	210954.748090464	196816.410178145	195975.262160222	287118.545381878	200969.471878946	103184.154600097	226279.625895691	198127.143623294	220863.176934779	385506.237376608	231950.005972467	292149.163403263	ENSDARG00000012563	ENSDART00000012232	ENSDARP00000005394	pdss2-201		protein_coding	prenyl_(decaprenyl)_diphosphate_synthase,_subunit_2_[Source:ZFIN;Acc:ZDB-GENE-040718-43]
pep chromosome:GRCz11:3:31705454:31716157:-1 gene:ENSDARG00000054362.5 transcript:ENSDART00000193189.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ccdc47 description:coiled-coil domain containing 47 [Source:ZFIN;Acc:ZDB-GENE-040912-15]	NA	284360.404104514	2502694.26533199	1444857.36177455	795447.789502482	2121827.76169776	2330679.61912859	3024791.149917	1913018.26144265	2578319.33709958	2302611.06646245	5147178.89834308	1494247.87732312	1254466.33930635	1824960.40742249	633851.639922658	11431549.4735231	10823630.6725517	12872887.0863752	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:9:48755638:48816031:1 gene:ENSDARG00000011573.12 transcript:ENSDART00000047401.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:abcb11a description:ATP-binding cassette, sub-family B (MDR/TAP), member 11a [Source:ZFIN;Acc:ZDB-GENE-050517-13]	abcb11a	284136.041093555	205994.497899741	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	3938751.27520158	1677681.13274237	982857.676535644	ENSDARG00000011573	ENSDART00000139631,ENSDART00000047401	ENSDARP00000118702,ENSDARP00000047400	abcb11a-202,abcb11a-201		protein_coding	ATP-binding_cassette,_sub-family_B_(MDR/TAP),_member_11a_[Source:ZFIN;Acc:ZDB-GENE-050517-13]
pep chromosome:GRCz11:23:21261342:21276431:1 gene:ENSDARG00000057255.7 transcript:ENSDART00000159046.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:emc1 description:ER membrane protein complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060810-98]	NA	282903.049271125	708689.791642544	3288825.59666395	2393230.55170898	5003821.77233621	5128954.01012718	3270145.47196131	5992554.7932967	7142814.02687475	10214558.7731778	7204585.27496396	5883214.82413552	2970247.52847043	2624918.04322691	2693927.422244	15041712.8141113	11572072.7210118	12489918.7407806	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:17:22577472:22585596:1 gene:ENSDARG00000030957.7 transcript:ENSDART00000045099.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:yipf4 description:Yip1 domain family, member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2253]	yipf4	281636.971284345	164490.883165743	172416.259455061	1994875.97086699	4809767.01261999	2561194.93573152	1626788.76081087	6689108.46024773	2034137.1532581	6625819.5377183	4732150.96304074	263460.740186661	3214937.52037286	442777.168481148	5097310.88416389	1329562.62267852	1686289.79069232	246475.804151868	ENSDARG00000030957,ENSDARG00000109994	ENSDART00000141887,ENSDART00000045099,ENSDART00000187383	,ENSDARP00000045098,ENSDARP00000150916	yipf4-202,yipf4-201,yipf4-203		protein_coding	Yip1_domain_family,_member_4_[Source:ZFIN;Acc:ZDB-GENE-040426-2253]
pep chromosome:GRCz11:5:28915389:28968964:-1 gene:ENSDARG00000008026.12 transcript:ENSDART00000184936.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:fam129bb description:family with sequence similarity 129, member Bb [Source:ZFIN;Acc:ZDB-GENE-030131-6218]	NA	281579.472647783	164490.883165743	172416.259455061	60101.2730854252	24103.4638249519	200316.40149845	218046.781369322	1090526.77888938	909618.165858739	848726.629461015	587698.679707751	397742.336963287	1585097.94101016	968727.818035443	989065.415681855	280980.066988418	252936.211232106	144340.01557177	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:15:2589949:2596125:-1 gene:ENSDARG00000079415.4 transcript:ENSDART00000114923.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:dnajc30b description:DnaJ (Hsp40) homolog, subfamily C, member 30b [Source:ZFIN;Acc:ZDB-GENE-131121-532]	LOC565734; dnajc30b	275576.670263642	330210.32061784	397788.374354981	194655.779391898	281314.292750783	200316.40149845	243042.922186543	255281.38508428	209665.64525751	287118.545381878	249053.598694961	263460.740186661	180799.392067467	222762.305921108	220863.176934779	329192.598681834	214419.032333706	129212.079881454	NA	NA	NA	NA	NA	NA	NA
